,Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3424,3424.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3425,3425.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3426,3426.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3427,3427.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3428,3428.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3429,3429.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3430,3430.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3431,3431.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3432,3432.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3433,3433.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3434,3434.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3435,3435.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3436,3436.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3437,3437.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3438,3438.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3439,3439.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3440,3440.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3441,3441.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3442,3442.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3443,3443.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3444,3444.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3445,3445.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3446,3446.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3447,3447.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3448,3448.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
3449,3449.0,3.205416646026538e-15,1.7559757500648398e-15,9.619500911490102e-16,5.269708182629624e-16,2.88682589518794e-16,1.581446915143798e-16,8.663405540274242e-17,4.745944668552468e-17,2.599900315442067e-17,1.4242647401739377e-17,7.802337797546742e-18,4.274238727527023e-18,2.341492662062913e-18,1.2827051168633644e-18,7.026852757154838e-19,3.849416286065548e-19,2.1087684992885012e-19,1.1552152984047922e-19,6.3284442370926e-20,3.4668175289310616e-20,1.8991751098095027e-20,1.040396867622872e-20,5.699451496434444e-21,3.1222457863054334e-21,1.7104134943863643e-21,9.369903979406916e-22,5.132975205788076e-22,2.811921501131843e-22,1.5404131544628457e-22,8.438616389138355e-23,4.622801769559413e-23,2.5324407717061433e-23
